dateTime,walletId,Wallet,Transaction ID,operation,assetTicker,Token Amount,USD Value,fromAddress,toAddress
10/10/25,kVGG0HQoBXBkQ9czC6vg,,SOL.67jUy397mLKZvKPmbtQyZuMmuXUM5JrSP7Lh2JNpbfeiUuFLmnsaYoju2nhXbbPdafxdV1KhgRXzVN5ZYpKFzmCE,WITHDRAW,SOL-ME,-149999.0,-87209.419,BCoJqvZPZ1MK3hSr5PG44JWuQU3v8cagbNAMQtVoXXqX,FyGExyLqpsfV6GxqfnyUPaV7qUgTQ1ecpYK9ojsiQoMk
,,,,,,,,,
10/13/25,kVGG0HQoBXBkQ9czC6vg,,SOL.3Tp6Ay2tVPYihp4Tj1och1wGRtkxauGZvuHk7oF1acfKQAwtbCDNqxy4iJhcknna5Vfz59GcLWBaUeJv3Z8picwc,WITHDRAW,SOL-ME,-25000.0,-12475.0,BCoJqvZPZ1MK3hSr5PG44JWuQU3v8cagbNAMQtVoXXqX,GKNEgLasBLcx79La7pAjUREiatwEeikXkVguRJgSHXoh
,,,,,,,,,
10/13/25,PJV2tMI6n8vkihgJJglH,,SOL.5BoD6Rc46Y6thYWAeXb4fJBcrLi3Yi3ccuF6KRpvNi1v3DUn9YUEv4hrWAZ1FGDphz4C7gMiNE92iSzqbDdueggq,DEPOSIT,SOL,265.056779,54649.407,GzgKb5ikJJjSGhr8azBn9cd2CXh2C9MhvFMxePDHHy9b,B7XLUUxo29JuEjgzGh2FMEdC3iCBUGXqYkbdNHg7dVF3
10/13/25,PJV2tMI6n8vkihgJJglH,,SOL.5BoD6Rc46Y6thYWAeXb4fJBcrLi3Yi3ccuF6KRpvNi1v3DUn9YUEv4hrWAZ1FGDphz4C7gMiNE92iSzqbDdueggq,FEE,SOL,9.06e-06,0.002,b7xluuxo29juejgzgh2fmedc3icbugxqykbdnhg7dvf3,
,,,,,,,,,
10/15/25,kVGG0HQoBXBkQ9czC6vg,,SOL.UH69tNvmaGQLqr51YqFxCgQNUJW9YkTmq7HwAe6EEPG2E6bq5aVgqVVpa5XsvofYbeVQTeFuC2ZK6y2PmiJU57w,WITHDRAW,SOL-ME,-71999.0,-32874.743,BCoJqvZPZ1MK3hSr5PG44JWuQU3v8cagbNAMQtVoXXqX,CKveo9sqvNxHqqKtgSuBh8upQb9FVrpUK6HJCKU25hXw
,,,,,,,,,
10/21/25,S02lqhcF02X8yft4ltXX,,SOL.2jDeDgzwSctaDLX3z7dtwUvgVJe8Z82WuLGMH6jutbiGAVYBuHzJgvznZXs1tq4ad5DDP3kSmVafAMDdProZJcif,WITHDRAW,SOL,-200.0,-39276.0,Henn93oADDD1VmyMhh56XGVYGoztrgDEX93W5X9BDux9,J5BQJKpAC9tykCRmpwH1WAshL1REuRUC5QcFdJ69StgF
